"ISIN";"StockExchange";"Symbol"
"INE03JI01017";"BSE";"542685"
"INE03JI01017";"NSE";"DGCONTENT"
"INE03JT01014";"NSE";"GODIGIT"
"INE03NU01014";"NSE";"BRIGHOTEL"
"INE03Q201024";"NSE";"ALIVUS"
"INE03QK01018";"BSE";"543064"
"INE03QK01018";"NSE";"COHANCE"
"INE03RS01027";"NSE";"DRCSYSTEMS"
"INE03V001013";"BSE";"542933"
"INE03V001013";"NSE";"UNIVPHOTO"
"INE03YM01018";"BSE";"543233"
"INE03YM01018";"NSE";"CHEMCON"
"INE040A01034";"BSE";"500180"
"INE040A01034";"NSE";"HDFCBANK"
"INE040D01038";"BSE";"522249"
"INE040D01038";"NSE";"MAYURUNIQ"
"INE040H01021";"BSE";"532667"
"INE040H01021";"NSE";"SUZLON"
"INE040M01013";"BSE";"533540"
"INE040M01013";"NSE";"TREEHOUSE"
"INE041A01016";"BSE";"500119"
"INE041A01016";"NSE";"DHAMPURSUG"
"INE042A01014";"BSE";"500495"
"INE042A01014";"NSE";"ESCORTS"
"INE043A01012";"BSE";"500160"
"INE043A01012";"NSE";"GTL"
"INE043C01018";"BSE";"507580"
"INE043C01018";"NSE";"IVP"
"INE043D01016";"BSE";"532659"
"INE043W01024";"NSE";"VIJAYA"
"INE044A01036";"BSE";"524715"
"INE044A01036";"NSE";"SUNPHARMA"
"INE045601023";"NSE";"PARAS"
"INE045A01017";"BSE";"517041"
"INE045A01017";"NSE";"ADOR"
"INE045B01015";"BSE";"504112"
"INE045B01015";"NSE";"NELCO"
"INE045J01026";"BSE";"533333"
"INE045J01026";"NSE";"FCL"
"INE046A01015";"BSE";"523445"
"INE046A01015";"NSE";"RIIL"
"INE046W01019";"NSE";"MUTHOOTMF"
"INE047A01021";"BSE";"500300"
"INE047A01021";"NSE";"GRASIM"
"INE047B01011";"BSE";"532716"
"INE047B01011";"NSE";"GILLANDERS"
"INE047O01014";"BSE";"535458"
"INE047O01014";"NSE";"NIBL"
"INE048B01027";"BSE";"507789"
"INE048B01035";"NSE";"JAGSNPHARM"
"INE048C01025";"NSE";"VHLTD"
"INE048G01026";"BSE";"532504"
"INE048G01026";"NSE";"NAVINFLUOR"
"INE049A01027";"BSE";"514043"
"INE049A01027";"NSE";"HIMATSEIDE"
"INE049B01025";"BSE";"532300"
"INE049B01025";"NSE";"WOCKPHARMA"
"INE049I01012";"BSE";"532952"
"INE049I01012";"NSE";"NAHARCAP"
"INE04AK01028";"NSE";"SBC"
"INE04I401011";"BSE";"542651"
"INE04I401011";"NSE";"KPITTECH"
"INE04LG01015";"NSE";"PAR"
"INE04TZ01018";"NSE";"ETHOSLTD"
"INE050001010";"BSE";"542684"
"INE050001010";"NSE";"PPL"
"INE050401020";"NSE";"ELIN"
"INE050A01025";"BSE";"501425"
"INE050A01025";"NSE";"BBTC"
"INE050B01023";"BSE";"511208"
"INE050B01023";"NSE";"IVC"
"INE050E01027";"BSE";"530999"
"INE050E01027";"NSE";"BALAMINES"
"INE050H01012";"BSE";"532661"
"INE050H01012";"NSE";"RML"
"INE050M01012";"BSE";"534392"
"INE050M01012";"NSE";"VSSL"
"INE051B01021";"BSE";"511431"
"INE051B01021";"NSE";"VAKRANGEE"
"INE052A01021";"BSE";"522029"
"INE052A01021";"NSE";"WINDMACHIN"
"INE052I01032";"BSE";"532834"
"INE052I01032";"NSE";"CAMLINFINE"
"INE052T01013";"BSE";"539660"
"INE052T01013";"NSE";"BESTAGRO"
"INE053A01029";"BSE";"500850"
"INE053A01029";"NSE";"INDHOTEL"
"INE053F01010";"BSE";"543257"
"INE053F01010";"NSE";"IRFC"
"INE054301028";"NSE";"ODIGMA"
"INE054A01027";"BSE";"507880"
"INE054A01027";"NSE";"VIPIND"
"INE054C01015";"BSE";"523660"
"INE055A01016";"BSE";"500040"
"INE055A01016";"NSE";"ABREL"
"INE055C01020";"BSE";"526677"
"INE055C01020";"NSE";"KEEPLEARN"
"INE055S01018";"NSE";"CYIENTDLM"
"INE056C01010";"BSE";"513434"
"INE056I01017";"BSE";"532884"
"INE056I01025";"NSE";"REFEX"
"INE058A01010";"BSE";"500674"
"INE058A01010";"NSE";"SANOFI"
"INE058B01018";"BSE";"512553"
"INE058B01018";"NSE";"ZENITHEXPO"
"INE059901020";"NSE";"IEL"
"INE059A01026";"BSE";"500087"
"INE059A01026";"NSE";"CIPLA"
"INE059B01024";"BSE";"523838"
"INE059B01024";"NSE";"SIMPLEXINF"
"INE059D01020";"BSE";"526947"
"INE059D01020";"NSE";"LAOPALA"
"INE05AN01011";"BSE";"542905"
"INE05AN01011";"NSE";"HINDWAREAP"
"INE05CZ01011";"NSE";"RATNAVEER"
"INE05J901018";"NSE";"IGCL"
"INE05ST01028";"NSE";"SBGLP"
"INE05X901010";"NSE";"HPIL"
"INE060901027";"NSE";"LIKHITHA"
"INE060A01024";"BSE";"508989"
"INE060A01024";"NSE";"NAVNETEDUL"
"INE060B01014";"BSE";"531892"
"INE060B01014";"NSE";"KHANDSE"
"INE060J01017";"BSE";"533638"
"INE060J01017";"NSE";"FLEXITUFF"
"INE060X01034";"NSE";"DEVIT"
"INE061A01014";"BSE";"509692"
"INE061A01014";"NSE";"INDIANCARD"
"INE061F01013";"BSE";"532843"
"INE061F01013";"NSE";"FORTIS"
"INE062A01020";"BSE";"500112"
"INE062A01020";"NSE";"SBIN"
"INE062D01024";"BSE";"531147"
"INE062D01024";"NSE";"ALICON"
"INE063E01053";"NSE";"POCL"
"INE063P01018";"BSE";"543243"
"INE063P01018";"NSE";"EQUITASBNK"
"INE064C01022";"BSE";"521064"
"INE064C01022";"NSE";"TRIDENT"
"INE065B01013";"BSE";"517571"
"INE065D01027";"BSE";"511076"
"INE065D01027";"NSE";"AEROENTER"
"INE065J01024";"NSE";"TPHQ"
"INE065X01017";"NSE";"INDGN"
"INE066A01021";"BSE";"505200"
"INE066A01021";"NSE";"EICHERMOT"
"INE066F01012";"BSE";"541154"
"INE066F01020";"NSE";"HAL"
"INE066O01014";"BSE";"538268"
"INE066O01014";"NSE";"WONDERLA"
"INE066P01011";"BSE";"539083"
"INE066P01011";"NSE";"INOXWIND"
"INE067A01029";"BSE";"500093"
"INE067A01029";"NSE";"CGPOWER"
"INE068L01016";"BSE";"533267"
"INE068L01024";"NSE";"CANTABIL"
"INE068V01023";"BSE";"543245"
"INE068V01023";"NSE";"GLAND"
"INE069I01010";"BSE";"532832"
"INE069I01010";"NSE";"EMBDL"
"INE06HJ01020";"NSE";"ECOSMOBLTY"
"INE06IR01021";"NSE";"OSIAHYPER"
"INE06ST01018";"NSE";"INDIQUBE"
"INE06WU01026";"NSE";"LAXMIINDIA"
"INE06XZ01023";"NSE";"GEMAROMA"
"INE06ZD01017";"NSE";"SHANTIGOLD"
"INE070A01015";"BSE";"500387"
"INE070A01015";"NSE";"SHREECEM"
"INE070C01037";"BSE";"532456"
"INE070D01027";"BSE";"512237"
"INE070D01027";"NSE";"JAICORPLTD"
"INE070I01018";"BSE";"532851"
"INE070I01018";"NSE";"INSECTICID"
"INE071A01013";"NSE";"BILVYAPAR"
"INE071D01033";"BSE";"523828"
"INE071D01033";"NSE";"MENONBE"
"INE071E01023";"BSE";"530363"
"INE071E01023";"NSE";"UGARSUGAR"
"INE071F01012";"BSE";"518091"
"INE071F01012";"NSE";"APCL"
"INE071N01016";"NSE";"EPIGRAL"
"INE073D01013";"BSE";"590072"
"INE073D01013";"NSE";"SUNDRMBRAK"
"INE073G01016";"BSE";"507526"
"INE073G01016";"NSE";"ASALCBR"
"INE073K01018";"NSE";"SONACOMS"
"INE073V01015";"BSE";"539986"
"INE073V01015";"NSE";"COMSYN"
"INE074A01025";"BSE";"522205"
"INE074A01025";"NSE";"PRAJIND"
"INE074B01023";"BSE";"530555"
"INE074B01023";"NSE";"PARACABLES"
"INE075A01022";"BSE";"507685"
"INE075A01022";"NSE";"WIPRO"
"INE075B01020";"NSE";"SICALLOG"
"INE075D01018";"BSE";"507488"
"INE075D01018";"NSE";"GMBREW"
"INE075I01017";"BSE";"539787"
"INE075I01017";"NSE";"HCG"
"INE076B01028";"BSE";"503811"
"INE076B01028";"NSE";"SIYSIL"
"INE076C01018";"BSE";"507438"
"INE076C01018";"NSE";"IFBAGRO"
"INE077F01035";"BSE";"506480"
"INE077F01035";"NSE";"GOCLCORP"
"INE078V01014";"NSE";"VIKRAMSOLR"
"INE079A01024";"BSE";"500425"
"INE079A01024";"NSE";"AMBUJACEM"
"INE079J01017";"NSE";"GATEWAY"
"INE07K301024";"NSE";"ZAGGLE"
"INE07O001026";"NSE";"EASEMYTRIP"
"INE07OG01012";"BSE";"543214"
"INE07OG01012";"NSE";"NDRAUTO"
"INE07RO01027";"NSE";"SUPRIYA"
"INE07S101020";"NSE";"PAVNAIND"
"INE07T201019";"BSE";"543248"
"INE07T201019";"NSE";"RBA"
"INE07U701015";"NSE";"IRMENERGY"
"INE07Y701011";"BSE";"543187"
"INE07Y701011";"NSE";"POWERINDIA"
"INE080A01014";"BSE";"523011"
"INE080A01014";"NSE";"WEIZMANIND"
"INE080B01012";"NSE";"KOHINOOR"
"INE080I01025";"BSE";"512463"
"INE080I01025";"NSE";"LLOYDSENT"
"INE080I20017";"NSE";"LLOYDSE-RE"
"INE081A01020";"NSE";"TATASTEEL"
"INE082A01010";"BSE";"524280"
"INE082A01010";"NSE";"KOPRAN"
"INE082W01014";"NSE";"WEWIN"
"INE083A01026";"BSE";"500288"
"INE083A01026";"NSE";"MOREPENLAB"
"INE083B01016";"BSE";"530199"
"INE083B01024";"NSE";"THEMISMED"
"INE083C01022";"BSE";"523648"
"INE083C01022";"NSE";"PLASTIBLEN"
"INE083D01012";"BSE";"524824"
"INE083D01012";"NSE";"BALPHARMA"
"INE084A01016";"BSE";"532149"
"INE084A01016";"NSE";"BANKINDIA"
"INE084Q01012";"BSE";"537785"
"INE084Q01012";"NSE";"RACE"
"INE085A01013";"BSE";"500085"
"INE085A01013";"NSE";"CHAMBLFERT"
"INE085J01014";"BSE";"533158"
"INE085J01014";"NSE";"THANGAMAYL"
"INE086A01029";"BSE";"500128"
"INE086A01029";"NSE";"ELECTCAST"
"INE087A01019";"BSE";"502937"
"INE087A01019";"NSE";"KESORAMIND"
"INE087B01017";"BSE";"519383"
"INE087B01017";"NSE";"ANIKINDS"
"INE087H01022";"BSE";"532670"
"INE087H01022";"NSE";"RENUKA"
"INE087Z01024";"NSE";"AAKASH"
"INE088F01024";"NSE";"PARADEEP"
"INE089A01023";"BSE";"500124"
"INE089A01031";"NSE";"DRREDDY"
"INE089C01029";"BSE";"532374"
"INE089C01029";"NSE";"STLTECH"
"INE08KJ01020";"NSE";"MUFIN"
"INE08KP01019";"BSE";"542729"
"INE08KP01019";"NSE";"DCMNVL"
"INE08LI01020";"NSE";"KRSNAA"
"INE08N601015";"NSE";"MBEL"
"INE08NE01025";"NSE";"SANSTAR"
"INE08U801020";"NSE";"SAMHI"
"INE08ZM01014";"BSE";"542857"
"INE08ZM01014";"NSE";"GREENPANEL"
"INE090501011";"NSE";"SCODATUBES"
"INE090A01021";"BSE";"532174"
"INE090A01021";"NSE";"ICICIBANK"
"INE090B01011";"BSE";"520021"
"INE090B01011";"NSE";"OMAXAUTO"
"INE091G01018";"BSE";"532976"
"INE091G01026";"NSE";"JAIBALAJI"
"INE092A01019";"BSE";"500770"
"INE092A01019";"NSE";"TATACHEM"
"INE092B01025";"BSE";"532240"
"INE092B01025";"NSE";"INDNIPPON"
"INE092T01019";"BSE";"539437"
"INE092T01019";"NSE";"IDFCFIRSTB"
"INE093A01041";"NSE";"HEXT"
"INE093B01015";"BSE";"530715"
"INE093B01015";"NSE";"ALPSINDUS"
"INE093I01010";"BSE";"533273"
"INE093I01010";"NSE";"OBEROIRLTY"
"INE093R01011";"BSE";"539992"
"INE093R01011";"NSE";"LLOYDSENGG"
"INE094A01015";"BSE";"500104"
"INE094A01015";"NSE";"HINDPETRO"
"INE094I01018";"BSE";"532924"
"INE094I01018";"NSE";"KOLTEPATIL"
"INE094J01016";"BSE";"543238"
"INE094J01016";"NSE";"UTIAMC"
"INE095A01012";"BSE";"532187"
"INE095A01012";"NSE";"INDUSINDBK"
"INE095I01015";"BSE";"532934"
"INE095I01015";"NSE";"PPAP"
"INE095N01031";"BSE";"534309"
"INE095N01031";"NSE";"NBCC"
"INE096B01018";"BSE";"531209"
"INE096B01018";"NSE";"NUCLEUS"
"INE098201036";"NSE";"VCL"
"INE098F01031";"BSE";"590006"
"INE098F01031";"NSE";"AMRUTANJAN"
"INE099F01013";"BSE";"535601"
"INE099F01013";"NSE";"SREEL"
"INE099J01015";"BSE";"533207"
"INE099Z01011";"BSE";"541195"
"INE099Z01011";"NSE";"MIDHANI"
"INE09E501017";"BSE";"543251"
"INE09E501017";"NSE";"RVHL"
"INE09EO01013";"BSE";"543210"
"INE09EO01013";"NSE";"AARTISURF"
"INE09KD01013";"NSE";"ATAM"
"INE09N301011";"BSE";"542812"
"INE09N301011";"NSE";"FLUOROCHEM"
"INE09VQ01012";"BSE";"543258"
"INE09VQ01012";"NSE";"INDIGOPNTS"
"INE09XN01023";"NSE";"AKUMS"
"INE0A0S01010";"NSE";"SIGMA"
"INE0A1101019";"NSE";"DCI"
"INE0AE001013";"NSE";"VPRPL"
"INE0AEJ01013";"BSE";"542932"
"INE0AG901020";"NSE";"CEIGALL"
"INE0AJG01018";"BSE";"543242"
"INE0AJG01018";"NSE";"HEMIPROP"
"INE0ALR01029";"NSE";"ATALREAL"
"INE0APB01032";"NSE";"MGEL"
"INE0AQ201015";"NSE";"THELEELA"
"INE0ATZ01017";"NSE";"KRONOX"
"INE0B1K01014";"BSE";"543193"
"INE0B1K01014";"NSE";"DJML"
"INE0B9K01025";"NSE";"BANSALWIRE"
"INE0BJS01011";"NSE";"GOCOLORS"
"INE0BS701011";"NSE";"PREMIERENE"
"INE0BTI01037";"NSE";"KAMOPAINTS"
"INE0BTM01013";"BSE";"543234"
"INE0BTM01013";"NSE";"SECMARK"
"INE0BV301023";"NSE";"MAPMYINDIA"
"INE0BWX01014";"NSE";"AETHER"
"INE0BX301013";"NSE";"PROSTARM"
"INE0BY001018";"BSE";"543271"
"INE0BY001018";"NSE";"JUBLINGREA"
"INE0BYP01024";"NSE";"OSWALPUMPS"
"INE0CG401037";"NSE";"MUKKA"
"INE0CG601016";"BSE";"543223"
"INE0CG601016";"NSE";"MAXIND"
"INE0CHO01012";"BSE";"543231"
"INE0CHO01012";"NSE";"ADL"
"INE0CJD01011";"BSE";"543273"
"INE0CJD01011";"NSE";"KMEW"
"INE0CJF01024";"NSE";"WCIL"
"INE0CLI01024";"NSE";"RATEGAIN"
"INE0CT101020";"NSE";"MOL"
"INE0CU601026";"NSE";"GMRP&UI"
"INE0CZ201020";"NSE";"ANTHEM"
"INE0D0K01022";"NSE";"SIGACHI"
"INE0D0U01013";"NSE";"AAATECH"
"INE0D6701023";"NSE";"IPL"
"INE0D6I01023";"NSE";"KSOLVES"
"INE0DAB01012";"NSE";"RVTH"
"INE0DD101019";"BSE";"543265"
"INE0DD101019";"NSE";"RAILTEL"
"INE0DK501011";"NSE";"PPLPHARMA"
"INE0DNW01011";"BSE";"543252"
"INE0DNW01011";"NSE";"FAIRCHEMOR"
"INE0DSF01015";"BSE";"543264"
"INE0DSF01015";"NSE";"NURECA"
"INE0DUT01020";"NSE";"INNOVACAP"
"INE0DYJ01015";"NSE";"SYRMA"
"INE0ECP01024";"NSE";"HMAAGRO"
"INE0EEJ01023";"NSE";"BTML"
"INE0EK901012";"BSE";"543249"
"INE0EK901012";"NSE";"TARC"
"INE0FFK01017";"NSE";"NPST"
"INE0FHS01016";"BSE";"543288"
"INE0FHS01024";"NSE";"DEEPINDS"
"INE0FRK01020";"NSE";"MOTISONS"
"INE0FS801015";"NSE";"MSUMI"
"INE0G5901015";"NSE";"EPACK"
"INE0GFE01026";"NSE";"EXXARO"
"INE0GGO01015";"NSE";"KRISHIVAL"
"INE0GIU01018";"NSE";"UMAEXPORTS"
"INE0GK401011";"NSE";"TATVA"
"INE0GSL01024";"NSE";"HPAL"
"INE0GV601021";"NSE";"ALLTIME"
"INE0H5O01029";"NSE";"WINDLAS"
"INE0H9P01028";"NSE";"ARISINFRA"
"INE0HLU01028";"NSE";"MOBIKWIK"
"INE0HMF01019";"NSE";"TRACXN"
"INE0HR601026";"NSE";"DDEVPLSTIK"
"INE0HV901016";"NSE";"IXIGO"
"INE0I0M01023";"NSE";"PRABHA"
"INE0I3401014";"NSE";"DBOL"
"INE0I7C01011";"NSE";"LATENTVIEW"
"INE0INJ01017";"NSE";"PLAZACABLE"
"INE0INX01018";"NSE";"AEGISVOPAK"
"INE0IQ001011";"NSE";"VERANDA"
"INE0IX101010";"NSE";"DATAPATTNS"
"INE0J1F01024";"NSE";"RPTECH"
"INE0J1Y01017";"BSE";"543526"
"INE0J1Y01017";"NSE";"LICI"
"INE0J5401028";"NSE";"HONASA"
"INE0J5801029";"NSE";"JSLL"
"INE0JA001018";"NSE";"VENUSPIPES"
"INE0JM501013";"NSE";"NRL"
"INE0JO301016";"NSE";"YATHARTH"
"INE0JPD01013";"NSE";"SANATHAN"
"INE0JR601024";"NSE";"YATRA"
"INE0JS101016";"NSE";"DREAMFOLKS"
"INE0JSX01015";"NSE";"GSLSU"
"INE0JUS01029";"NSE";"HARSHA"
"INE0JVO01026";"NSE";"GARUDA"
"INE0JWS01017";"NSE";"VALIANTLAB"
"INE0KBH01020";"NSE";"BLUEJET"
"INE0KCE01017";"NSE";"EUREKAFORB"
"INE0KGZ01021";"NSE";"SIGNPOST"
"INE0KL801015";"NSE";"DCXINDIA"
"INE0KNT01012";"NSE";"MVGJL"
"INE0KQN01018";"NSE";"BAJEL"
"INE0L9R01028";"NSE";"GOPAL"
"INE0LCL01028";"NSE";"AVALON"
"INE0LEZ01016";"NSE";"ATHERENERG"
"INE0LLY01014";"NSE";"EIEL"
"INE0LMW01024";"NSE";"CELLO"
"INE0LOJ01019";"NSE";"IKIO"
"INE0LQS01015";"NSE";"TIPSFILMS"
"INE0LRU01027";"NSE";"AARTIPHARM"
"INE0LRY01011";"NSE";"QUADFUTURE"
"INE0LXG01040";"NSE";"OLAELEC"
